original,translation,Agreement
"Het is belangrijk en kan helpend zijn, maar niet noodzakelijk","It is important and can be helpful, but not necessary",4. neutral
Behandeling altijd maatwerk en leg ik liever de focus op wat de patient daarin zoekt in plaats van veel tijd besteden aan de best passende diagnose.,Treatment always customized and I prefer to put the focus on what the patient is looking for in it rather than spending a lot of time on the best fitting diagnosis.,"3. somewhat
disagree"
Aan de ene kant is een wetenschappelijke benadering belangrijk. Aan de andere kant is de wetenschappelijke kijk op wel/niet aanwezig zijn van een depressie een bril om de werkelijkheid mee te begrijpen. Mijn bezwaar is dat er een risico is dat er liniair gedacht wordt.,"On the one hand, a scientific approach is important. On the other hand, the scientific view of the presence/absence of depression is a lens through which to understand reality. My objection is that there is a risk of linear thinking.","5. somewhat
agree"
"Ja, ik ben het eens met de stelling, zolang het gebruik van deze methoden niet in de weg gaat zitten van lastig meetbare (maar zeer waarschijnlijk wel belangrijke) andere factoren (openheid van de therapeut, mate en diepte waarin de therapeut 'verbinding' kan maken met de patient en vice versa, kwaliteit van de therapeutische relatie, exploratie voorbij de gestandaardiseerde methode). Enigszins paradoxaal dus: standaardiseren met de vrijheid om in te spelen op de idiosyncratische natuur van de patient en de patient-therapeut interactie.","Yes, I agree with the statement, as long as the use of these methods does not get in the way of difficult to measure (but very likely important) other factors (openness of the therapist, degree and depth to which the therapist can ""connect"" with the patient and vice versa, quality of the therapeutic relationship, exploration beyond the standardized method). Somewhat paradoxically, then: standardizing with the freedom to respond to the idiosyncratic nature of the patient and the patient-therapist interaction.","5. somewhat
agree"
Ik hecht zeer veel waarde aan de klinische blik ( ervaring),I highly value the clinical view ( experience),4. neutral
Ik zou het veel meer moeten doen om geen zaken te missen,I should do it a lot more not to miss things,"5. somewhat
agree"
Ik vertrouw het meest op mijn klinische ervaring,I rely most on my clinical experience,4. neutral
"Het kost ontzettend veel tijd kwijt om volgens de regels van de dsm te classificeren (met bijbehorende vragenlijsten en interviews), welke afdoet aan de tijd en aandacht voor het ontstaan, instandhouden, beschermende factoren, het opbouwen van behandelrelatie, etc. Professioneel werken is mijns inziens ook weten wanneer je kan stoppen met alle lijstjes waar de patiënt niks aan heeft en die schijn-kennis bieden aan jezelf. Uiteindelijk weet je nog zeer weinig van de kern van de problematiek als iemand wel of niet voldoet aan de criteria, als dat enkel je focus is.","It takes an awful lot of time to classify according to the rules of the dsm (with accompanying questionnaires and interviews), which takes away from the time and attention for the emergence, maintenance, protective factors, the building of treatment relationships, etc. In my opinion, working professionally is also knowing when you can stop with all the lists that are of no use to the patient and offer that false knowledge to yourself. In the end, you still know very little of the core of the problem if someone does or does not meet the criteria, if that is your focus.","1. strongly
disagree"
"Het is belangrijk dat er bij diagnostiek gebruik wordt gemaakt van evidence based methoden maar het klinisch oordeel van de hulpverlener is evengoed belangrijk. Maw "" wat laat de patiënt zien in de spreekkamer"" bijvoorbeeld aan non verbaal gedrag, in de uiterlijke verzorging, hoe ziet iemands leven er verder uit, wat is zijn of haar leergeschiedenis etc.","It is important to use evidence-based methods in diagnostics but the clinical judgment of the caregiver is equally important. Maw "" what does the patient show in the consultation room"" e.g. in non verbal behavior, in external care, what does a person's life look like otherwise, what is his or her learning history etc.",4. neutral
Mijn werkwijze als POH GGZ is anders. Ik probeer bij het intake gesprek in kaart te brengen wat er speelt. Wat is de hulpvraag(en)? Wat is de motivatie? Is er steun vanuit het systeem? Wil iemand verwezen worden? Ook probeer ik een behandel relatie op te bouwen. Soms gebruik ik zelftesten (online) of geef ik een test mee. Dit is lang niet altijd nodig.,My working method as a POH GGZ is different. During the intake interview I try to map out what is going on. What is the request(s) for help? What is the motivation? Is there support from the system? Does someone want to be referred? I also try to build a treatment relationship. Sometimes I use self-testing (online) or give a test. This is by no means always necessary.,"5. somewhat
agree"
